Categoria;Item;Chave no NodeAccess;Licenciado? (1/0);Quantidade;Preco unitario mensal;Subtotal mensal;Observacao
Base;Usuarios ativos;license.activeUsers;1;50;29;=D2*E2*F2;Cobrar por usuario ativo que consome licenca
Base;Hosts cadastrados incluidos;license.registeredHosts;1;100;0;=D3*E3*F3;Pode ficar incluso no plano por faixa
Base;Hosts adicionais;license.maxHosts;0;0;2;=D4*E4*F4;Usar quando ultrapassar franquia contratada
Base;Multi-connect;license.multiConnect;1;50;4;=D5*E5*F5;Add-on por usuario quando permitir multiplas abas/sessoes
Seguranca;Auditoria de sessao;license.sessionAuditEnabled;1;50;8;=D6*E6*F6;Registro, consulta e rastreabilidade de sessoes SSH
Seguranca;Playback de sessao;featureEntitlements.sessionPlayback;0;50;5;=D7*E7*F7;Futuro/separavel se vendido como tier superior
IA;IA da auditoria SSH;license.sessionAuditAiEnabled;0;50;12;=D8*E8*F8;Analise/resumo de auditoria com IA
IA;Resumo automatico pos-sessao;featureEntitlements.sessionAuditAiAutoSummary;0;50;5;=D9*E9*F9;Add-on sobre IA de auditoria
Produtividade;Snippets;featureEntitlements.snippets;1;50;4;=D10*E10*F10;Biblioteca de comandos e padroes operacionais
Produtividade;Secrets;featureEntitlements.secrets;1;50;6;=D11*E11*F11;Cofre/referencias de segredos para fluxos operacionais
Rede;Tuneis SSH / Port forwarding;featureEntitlements.portForwarding;1;50;7;=D12*E12*F12;Acessos locais e port forwarding governado
Operacao;Agentes;featureEntitlements.agents;0;10;9;=D13*E13*F13;Cobrar por agente ou por host com agente
Integracoes;Base de integracoes;featureEntitlements.integrations;1;1;99;=D14*E14*F14;Habilita modulo de integracoes no tenant
Integracoes;Jira;integrationEntitlements.jira;1;1;49;=D15*E15*F15;Provider licenciado individualmente
Integracoes;Google;integrationEntitlements.google;0;1;49;=D16*E16*F16;Provider licenciado individualmente
Integracoes;1Password;integrationEntitlements.onepassword;1;1;79;=D17*E17*F17;Provider de segredo tende a ter maior valor percebido
IA;Assistente local;featureEntitlements.localAi;0;50;10;=D18*E18*F18;IA local/privada por usuario licenciado
IA;MCP;featureEntitlements.mcp;0;50;8;=D19*E19*F19;Interface governada para assistentes e ferramentas externas
IA;Acoes SSH por IA;featureEntitlements.aiSshActions;0;50;15;=D20*E20*F20;Modulo premium de automacao controlada
Produto;Feedbacks;featureEntitlements.feedback;1;1;19;=D21*E21*F21;Opcional - normalmente pode entrar no plano base
Comercial;Desconto percentual;;1;1;0,15;=-((G2+G3+G4+G5+G6+G7+G8+G9+G10+G11+G12+G13+G14+G15+G16+G17+G18+G19+G20+G21)*F22);Ajustar para 0 se nao houver desconto
Comercial;Subtotal mensal;;;1;;=G2+G3+G4+G5+G6+G7+G8+G9+G10+G11+G12+G13+G14+G15+G16+G17+G18+G19+G20+G21+G22;Total mensal com desconto antes de suporte/setup
Comercial;Setup/implantacao;;;1;2500;=D24*E24*F24;Valor unico opcional
Comercial;Suporte premium mensal;;;0;1;900;=D25*E25*F25;Opcional para clientes maiores
Comercial;Total mensal recorrente;;;1;;=G23+G25;MRR estimado
Comercial;Total anual recorrente;;;1;;=G26*12;ARR estimado
Comercial;Total primeiro ano;;;1;;=G27+G24;ARR + setup
